lat,lon,predicted_runoff
16.5,80.0,10.031309
16.5,80.375,10.033816
16.5,80.75,12.277135
16.5,81.125,12.280802
16.5,81.5,12.534123
16.875,80.0,10.029798
16.875,80.375,10.030414
16.875,80.75,4.4449387
16.875,81.125,8.990397
16.875,81.5,7.663252
17.25,80.0,10.028533
17.25,80.375,10.026949
17.25,80.75,10.02529
17.25,81.125,10.02529
17.25,81.5,7.037058
17.625,80.0,10.030145
17.625,80.375,10.026466
17.625,80.75,9.392434
17.625,81.125,7.1400266
17.625,81.5,10.025911
18.0,80.0,10.029412
18.0,80.375,10.026265
18.0,80.75,10.02529
18.0,81.125,10.02529
18.0,81.5,10.027963
